movieTitle,URL,rt_score,script_length,avg_sentence_length,readability_score,main_character_count,dialogue_ratio,long_sentence_flag,script_text
10-Things-I-Hate-About-You,https://imsdb.com/scripts/10-Things-I-Hate-About-You.html,71.0,22869,10.54356846473029,4.833101790063893,4.248495242049359,1.1636698939603505,False,
12-and-Holding,https://imsdb.com/scripts/12-and-Holding.html,73.0,23420,9.074002324680356,3.699726209009402,3.295836866004329,0.9166989538938396,False,
12-Years-a-Slave,https://imsdb.com/scripts/12-Years-a-Slave.html,95.0,37137,11.257047590178844,4.906413788536934,4.304065093204169,1.023340406183692,False,
127-Hours,https://imsdb.com/scripts/127-Hours.html,93.0,22898,10.140832595217006,4.615069891220987,3.58351893845611,0.8817537643932684,False,
1492-Conquest-of-Paradise,https://imsdb.com/scripts/1492-Conquest-of-Paradise.html,30.0,27995,10.796374855379868,5.373456941552391,0.6931471805599453,0.024681835711531,False,
17-Again,https://imsdb.com/scripts/17-Again.html,57.0,23367,8.660859896219423,3.207458730140992,3.737669618283368,0.8595255744996294,False,
2001-A-Space-Odyssey,https://imsdb.com/scripts/2001-A-Space-Odyssey.html,90.0,19451,14.177113702623906,6.245788689784842,3.49650756146648,0.4030612244897959,False,
2012,https://imsdb.com/scripts/2012.html,40.0,32298,9.778383287920072,5.074808689877461,4.330733340286331,0.9639721465334544,False,
20th-Century-Women,https://imsdb.com/scripts/20th-Century-Women.html,88.0,21789,9.63262599469496,4.970445280067889,3.828641396489095,0.5641025641025641,False,
28-Days-Later,https://imsdb.com/scripts/28-Days-Later.html,87.0,24940,9.581252401075682,4.191607833266509,3.367295829986474,0.8916634652324241,False,
30-Minutes-or-Less,https://imsdb.com/scripts/30-Minutes-or-Less.html,45.0,29454,9.374283895607894,2.829354391560852,3.5263605246161616,0.8570973901973266,False,
42,https://imsdb.com/scripts/42.html,80.0,34725,9.643154679255762,3.412736109644868,4.912654885736052,0.8583726742571508,False,
44-Inch-Chest,https://imsdb.com/scripts/44-Inch-Chest.html,40.0,29300,9.750415973377704,2.880798751984827,3.044522437723423,0.5820299500831947,False,
48-Hrs.,https://imsdb.com/scripts/48-Hrs..html,92.0,25881,10.066511085180863,3.1533345164421114,4.7535901911063645,1.0669000388953715,False,
500-Days-of-Summer,https://imsdb.com/scripts/500-Days-of-Summer.html,86.0,23258,8.454380225372592,3.1239583828639645,3.258096538021482,0.926208651399491,False,
8MM,https://imsdb.com/scripts/8MM.html,24.0,39859,11.671742313323572,4.158699963541302,3.555348061489413,0.48199121522694,False,
9,https://imsdb.com/scripts/9.html,57.0,21150,12.16216216216216,4.102328110246198,3.951243718581428,1.1978148361127086,False,
A-Few-Good-Men,https://imsdb.com/scripts/A-Few-Good-Men.html,84.0,34076,10.869537480063796,4.628956814492778,3.737669618283368,1.1712918660287082,False,
A-Good-Person,https://imsdb.com/scripts/A-Good-Person.html,57.0,23460,8.342816500711237,3.426319439368939,3.8501476017100575,0.6351351351351351,False,
A-Million-Miles-Away,https://imsdb.com/scripts/A-Million-Miles-Away.html,89.0,28618,9.190109184328838,4.86664233351625,3.9318256327243257,0.462106615285806,False,
A-Most-Violent-Year,https://imsdb.com/scripts/A-Most-Violent-Year.html,89.0,31014,9.792863909062204,3.974291843767322,3.6375861597263857,0.9299021155667824,False,
A-Prayer-Before-Dawn,https://imsdb.com/scripts/A-Prayer-Before-Dawn.html,92.0,29519,10.652832912306026,4.321038649723228,3.1354942159291497,0.263803680981595,False,
A-Quiet-Place,https://imsdb.com/scripts/A-Quiet-Place.html,96.0,27422,12.922714420358153,4.012017016252514,1.6094379124341005,0.0961357210179076,False,
A-Real-Pain,https://imsdb.com/scripts/A-Real-Pain.html,96.0,21502,9.840732265446224,4.389731919871217,3.044522437723423,0.7432494279176202,False,
A-Scanner-Darkly,https://imsdb.com/scripts/A-Scanner-Darkly.html,68.0,34705,10.100407450523864,4.554594071262759,3.688879454113936,0.6388242142025611,False,
A-Serious-Man,https://imsdb.com/scripts/A-Serious-Man.html,89.0,27219,9.431392931392931,4.371460153743197,4.762173934797756,0.8156618156618156,False,
Above-the-Law,https://imsdb.com/scripts/Above-the-Law.html,50.0,34516,11.776185602183554,5.015940640513154,3.8712010109078903,0.4397816444899352,False,
